title,section
유시민 검찰도 사법도 썩었지 vs 진중권 유시민 망상 대중은 현실로 믿어,0
아파트 공급↓…유동자금↑ 일상톡톡 플러스,1
진중권 “오픈북 그렇다고 부모가 보진 않아” 유시민 “모든 정보 검찰의 주장”,2
온더 이더리움 레이어2 솔루션 토카막 네트워크 개발자에 공개,3
여야 총선 필승 다짐...국회는 가시밭길,0
폭스바겐 전기차 목표 상향에…국내 배터리업체 바쁜 2020년 전망,1
신년토론 유시민 유튜브 기성언론으로 채워지지 않는 것 때문에 찾아,2
2022년 발사 예정인 달 탐사 궤도선 비행 방식 변경,3
SBS 여론조사③ 국정지지도 잘한다 49.3 vs 못한다 46.1%,0
포토 홈플러스 57L 대용량 바구니 대여해드립니다,1
‘창원 짚트랙’ 개장 70여일 만에 1만명 다녀가,2
카카오톡 새해부터 먹통 트래픽 폭증… 2시간 장애,3
SBS 여론조사② 비례정당 투표의향 있다 47.4 vs 없다 46.5%,0
中인민은행 지준율 6일부터 0.5%P 인하,1
계룡시 시민과 함께한 2020년 해맞이행사 성료,2
MS 14일부터 ‘윈도7’ 기술 지원 중단… 과기부 종합상황실 설치 보안 대응,3
SBS 여론조사① 총선 지지 정당…민주 43.8 한국 24.5%,0
과기부 윈도7 기술지원 종료 상황실 운영,1
강원 새해 첫날부터 산불·추락사 등 사건사고 잇따라,2
삼성전자 TV도 美 ‘8K UHD’ 인증 획득,3
32년 만에 새 선거법...꼼수 위성정당 걸림돌,0
저소득층 주거급여 지원 대상·금액 확대,1
전주 얼굴 없는 천사 성금 훔친 2명 결국 구속,2
음성 데이터화하고 과학기술로 개성 살려…30년 만에 AI로 컴백한 日가수,3
통합추진위 조속히 출범 vs 한국당으론 어렵다...통합 주도권 싸움 재점화,0
김종갑 한전 사장 “전통시장 전기사용 효율화 사업 추진”,1
허성무 시장  ‘2020 대도약 대혁신 해’ 맞이,2
우라금융  손태승 회장  신년사 1등 종합금융그룹 달성,3
클로징,0
지난해 수출 10.3%↓...10년 만에 두 자릿수 하락,1
신년토론 이창현 대한민국처럼 미디어가 과잉 정치화 된 나라 없어,2
토종 뇌졸중 치료제 개발 가속,3
총선 열리는 새해...시루떡에 총선 승리 새겨 넣은 여야,0
현대百 “오늘부터 새해 감사 선물 드려요”,1
“폐암 의심 진단” 양승태 전 대법원장 폐 수술 이유로 재판 연기,2
문길주 정부 간섭 싫다더니…연구자들 어느순간 스스로 길들여져,3
문 대통령 이르면 내일 추미애 법무부 장관 후보자 임명,0
삼성 반도체공장 1분 정전 피해 수십억…복구 23일 걸릴 듯,1
양산시 풍요와 희망 기회의 해 알리는 제야의 종 타종,2
KT 전직 임원들 구현모 내정자에 “황창규 회장과 단절 성장 도모해야”,3
문재인 대통령 산행으로 4년차 시작...靑 대북 메시지 신중,0
2020 경제전망① 우리 수출 올해 되살릴 수 있을까,1
경남대 2020학년도 정시모집 경쟁률 2.56대 1 기록,2
MAGICAR·VR 시장 3년후엔 1600억달러까지… 이통사들 콘텐츠 개발에 사활,3
김정은 집권 후 처음 신년사 생략...엄중한 상황 반영한 듯,0
aT 스마트스튜디오에서 홍보 컨텐츠 제작지원 받으세요,1
차안에서 책 빌려요 북 드라이브관 개관,2
MAGIC펭수 트렌드를 이끌다,3
北 대화 여지 남겨...정부 대화 중 연합훈련 자제,0
내수도 비상…유통업계 2030 밀레니얼 세대 잡기 총력전,1
신년토론 진중권 잘못된 방송 프로그램명 거론하자…정준희의 질문은,2
MAGIC자산도 건강도 알아서 관리 척척… ICT 못하는 게 뭐야,3
새로운 길은 정면돌파...핵·경제 병진 회귀하나,0
中 춘절 대비해 지준율 0.5% 인하...유동성 공급 목적,1
자사고·외고·국제고 일괄폐지 시행령 이달 공포...헌법소원 맞대응,2
편리미엄 트렌드에 쑥쑥 크는 오디오북 시장,3
김정은 곧 새 전략무기 보게 될 것...도발 예고,0
새해 첫 수출은 했지만…최악의 2019 이어 올해 경제도 비상,1
청년내일채움공제 지원 확대로 중소기업 장기근속 독려,2
로터리RD 예산 24조 시대의 각오,3
2020 총선의 해 105일 변수는,0
연이은 악재속 지난해 수출 두 자릿수 하락…무역은 1조달러 달성,1
고양시 “2020년 지상명령 기업 살리기”,2
MAGIC4K 초고화질 무선으로 즐기고… AR 동물원·갤러리도 탐방,3
文의장 공수처법 처리 세분 대통령 원 풀어,0
AI가 만든 진짜 같은 가짜…선거판에 악용될까 우려,1
올해부터 노인맞춤 돌봄서비스 시작된다,2
MAGIC5G 대중화 가속도… 글로벌 주도권 경쟁 치열해진다,3
사사건건 붙는 유시민 vs 진중권 맞장 토론 관심 집중,0
베스트 패션 골라주고 치료도 척척…AI 일상 속으로,1
이춘재 죽으려고 야산 갔다 초등생 살해 주장,2
한국 AI 전문가 수 터키·대만에도 못 미쳐,3
김정은 “머지않아 새 전략무기 목격하게 될 것” 북 노동당 전원회의 결정서,0
카를로스 곤 일본 탈출은 아내 작품이었다,1
경자년 새해 복 많이 받으세요 대구경북 곳곳 새해 해맞이 행사로 북적,2
삼성SDS CES서 첫 단독 전시…글로벌 시장 진출 속도낸다,3
영남·호남 다당체제 유지냐 한국당·민주당 ‘독식’ 회귀냐 신년 기획  21대 총선 분석,0
신년여론조사② 소득격차 역대 최소지만…OECD 하위권에 자산격차 벌어져,1
별풍선 수수료로 59억 뜯어낸 BJ 일당 덜미,2
너무 높은 규제장벽… 기술 있어도 크지 못하는 韓,3
특정 정당 맹목적 지지 없어…진보진영 유리 장담 못해 신년 기획  21대 총선 분석,0
고단했던 2019…올해 지갑은 조금 두둑해질까요,1
‘마이웨이’ 이정희 “스폰서 제의 수백 번 받아…힘들어 미국으로 도망”,2
총성없는 5G 특허전쟁… 中 독주 속 韓·美 맹추격,3
범여권 과반 vs 정권심판…비례 위성정당 등장 땐 ‘안갯속’ 신년 기획  21대 총선 분석,0
“한국 GDP 톱10 재진입 1년 늦춰진 2027년 될 듯”,1
선거 개입 수사 차질 불가피...檢 공소시효 공방 속 재청구 검토,2
1000萬 가입자 시대 열자… 융합서비스 띄우는 통신사,3
정책 성과·도덕성…하명수사 의혹 ‘뇌관’ 신년 기획  21대 총선 분석,0
압도적 합격률 자랑하는 에듀윌 KRI로부터 ‘공인중개사 합격자 수 1위’ 인증받아,1
박원순의 부동산 공유제...실현 방안 있나,2
온라인 전송되는 SW도 특허로 보호,3
北 올해도 대규모 새해 축하공연…불꽃놀이에 드론까지,0
작년 수출 10%↓…불매에 대일 무역적자 16년 만에 최저,1
부산 사하구 강변대로서 4중 추돌…2명 다쳐,2
앱으로 창구 예약·지정맥으로 계좌 개설,3
북 미 태도 변화 따라 ‘도발 수위’ 조절할 듯 북 노동당 전원회의 결정서,0
포토 “쥐띠 해 아기용품 뭐가 좋을까”,1
얼굴 없는 천사 성금 훔친 2명 구속…법원 도망 염려,2
대웅제약 나보타 중국 임상 3상 착수,3
‘정면돌파’ 23번 언급…군사력 강화·자력갱생 ‘새로운 길’ 북 노동당 전원회의 결정서,0
일본 출국 금지 곤 전 닛산 회장 레바논 도주에 당황한 日검찰,1
신년토론 언론 신뢰도 조사해보니…커지는 유튜브 영향력,2
공유서비스 확산 뜨거운 찬반 대결… 논란 당분간 지속될듯,3
북 남북관계 전혀 언급 안 해…작년 10차례와 대조적 북 노동당 전원회의 결정서,0
최정표 한국개발연구원 원장 신년 인터뷰 “한국 경제는 5060년 된 집 서비스업 중심 ‘리모델링’해야”,1
‘얼굴 없는 천사’ 불우이웃 성금 훔친 간큰 2명 구속…“도망 염려”,2
피앤피시큐어 라이나생명에 개인정보 접속기록 관리 솔루션 납품,3
이언주 “유시민 ‘오픈북’ 뭔지도 몰라 세치혀 그만 놀려라”,0
테이프·끈 사라진 자율포장대…쇼핑객들은 당황,1
부산 사하구 신평동 강변대로서 4중 추돌…2명 부상,2
윈도7 기술 지원 종료 임박 과기정통부 종합상황실 운영,3
트럼프 “비핵화가 싱가포르 회담 ‘넘버 원’ 문장”…합의 이행 거듭 촉구,0
라임운용 무역금융펀드 투자자들...법적대응 나선다,1
자막뉴스 처음 만난 사람보다 못 믿어…‘국회·언론·검찰’ 불신 톱3,2
새해 인사 보내려는데 먹통…카톡 2시간 서비스 장애,3
집권 후 ‘신년 메시지’ 첫 생략…결정서 내용으로 대체 ‘이례적’ 북 노동당 전원회의 결정서,0
반도체 상승 국면·중국 불확실성…올 한국경제 ‘명암’,1
신년토론 진중권 vs 유시민 신경전…진 교수 동양대 사직서 던진 이유 재조명,2
아이폰12 노치 사라질까…애플 일본에 특허 출원,3
전문부서 부장 15명 중 10명 교체·이동 ‘전열 재정비’ 북 노동당 전원회의 결정서,0
디아지오코리아 조니워커 블루레이블 쥐띠 에디션 등 다양한 설 선물세트 출시,1
신년토론 기레기 남용 알릴레오 예로 든 진중권에 유시민의 반론,2
휴테크 라이언 마사지쿠션 인테리어 효과에 안마까지 일석이조백문이불여일체험,3
김정은 “목숨처럼 지켜온 존엄 팔 수 없다…허리띠 조르고 자력부강” 북 노동당 전원회의 결정서,0
반도체·중국에 울었지만…기댈 곳도 여전히 ‘반도체·중국’,1
인터뷰 국책사업 제주제2공항 갈등 지방의회가 해결,2
올 암호화폐 시장 기관 진입 본격화… 비트코인 가격 상승 이끌 것블록人터뷰,3
문 대통령 해맞이 산행 포토뉴스,0
삼성 vs LG ‘우리 냉장고가 더 똑똑해’,1
앵커의 눈 국책사업 제주제2공항 갈등…지방의회가 해결,2
오픈블록체인산업협회 회원사간 시너지로 사업 대중화 화제,3
41 이견·한국당 반대…‘유치원3법’ 삐걱,0
삼성 vs LG ‘8K TV 전쟁’ 일단락,1
전주 ‘얼굴 없는 천사’ 성금 6000만원 훔친 2명 구속,2
체력갖춘 블록체인 서비스들… 2020년 과제는 대중화,3
떠오른 ‘총선의 해’…민주당 “재집권 토대” 한국당 “과반”,0
인천공항 화물터미널 찾은 성윤모 장관,1
폐암 의심 양승태 재판 연기…다음달 21일 재개,2
게임社까지 MA…실탄 확보해 신약 도전,3
靑 “北 대화 문 닫지 않아”…문 대통령 ‘촉진자역’ 험로,0
삼성전자 반도체 공장서 1분 정전…최소 수십억 피해,1
아파트 화재로 찜질방서 새해 맞이…“내일 오후 복구 예상”,2
삼성 새해 첫 스마트폰은 ‘인덕션’ 카메라 갤노트10 라이트,3
北 구체화 된 ‘새로운 길’…‘정면돌파’ 23번 언급,0
르노삼성 노조 파업 11일 만에 일단 멈춤,1
프레시안 프리즘 이웃동네서 천사도시 넘본 모욕감에 전주는 쇼크,2
명함앱 ‘리멤버’ 경력직 50만명 DB 갖춰… 기업에 맞춤 인재 소개기발한 스타트업 이야기,3
유시민 조국 대리시험은 오픈북…조지워싱턴대 협력 금지,0
수출 한국 반전의 카드…반도체 큰 시장 온다,1
헤엄치고 달리고 도전과 함께 새해를 시작한 사람들,2
과기정통부 윈도7 기술지원 종료 종합상황실 설치,3
김정은 핵실험·ICBM발사 재개 시사…새 전략무기 공개 예고,0
반도체 공장 1분 정전에도 피해액은 수십억 원,1
송병기 구속영장 기각…“‘선거 개입 공모’ 소명 부족”,2
해외시장 잡으려면 Z세대 사로잡아라,3
대남 메시지 없었던 北…남북관계 향방은,0
카를로스 곤 탈출 미스터리 출입국 절차 어떻게 뚫었나,1
새해 첫 날 도심 나들이객 북적,2
의료기술협력단 세워 RD 육성 병원에 창업지원 조직 허용해야,3
文대통령 6일 청와대 인사 단행할 듯…윤건영 총선 출마 전망,0
수출 한국의 악몽… 작년 10.3% 감소 금융위기 이후 최악,1
새해 소망 가득 안고...동해안에 모인 해맞이객들,2
다제내성 결핵 신약 텔라세벡이 주목받는 까닭은…,3
김정은 당 간부 23 물갈이…김여정 조직지도부로 옮긴 듯,0
日 수출규제 소재 대체 소재 개발 중,1
얼굴 없는 천사 성금 훔친 일당 구속,2
유료방송 합병 마무리 수순… 쫓기는 KT 반격 시작하나,3
트럼프 김정은 약속 지키는 사람…어기면 상응조치,0
삼성·LG 진화한 ‘AI 냉장고’ CES서 공개,1
요트계류장·클럽하우스 갖춘 창원 명동 마리나 항만 2022년 완공,2
‘AI 퍼스트’ 내세운 한국…정부·기업 함께 ‘AI 강국’ 발돋움 원년으로,3
포토 문 대통령 의인들과 함께 산행,0
급변하는 금융환경… “고객중심·디지털 혁신·협업으로 돌파”,1
진주시 시민과 함께한 제야의 종 타종행사 성황,2
정보통신기획평가원IITP 조직개편..기술전략본부 신설,3
김정은 새 전략무기 예고…충격적 실제행동 나설 것,0
공공기관 감사 ‘낙하산 인사’ 막는다,1
“‘학출’ 언니가 준 금서 한 권”…어린 시다의 삶을 바꿨다,2
규제 혁신 미디어빅뱅 선제적 대응,3
황교안 통합열차 출발…유승민 한국당으론 어렵다,0
“한국 GDP 작년 12위… 2027년에나 10위 탈환”,1
충북 대다수 초등학교 3일까지 취학예정자 예비소집,2
삼성·LG폰 품질보증기간 2년으로 연장,3
뉴스9 헤드라인,0
지난해 12월 개인 주식 순매도 7년만에 최대,1
창원공무원 대상 장현숙 주무관 포상금 전액 기탁,2
카톡 새해 2시간 먹통…비상대응 시스템 오류,3
이해찬 총선 승리해 재집권…비례정당 창당은 딜레마,0
中 6일 지준율 0.5%P 인하…8천억위안 유동성,1
법원 ‘얼굴 없는 천사’의 성금 가로챈 일당 구속,2
포토 위성 5G 시대 올해 개막,3
文 면전서 “이석기 석방” 민중당원들…文 아차산 일정 사전 유출,0
대형마트 새해 벽두 ‘초저가 할인 전쟁’ 시작됐다,1
금은방 2곳서 귀금속 훔쳐 달아난 10대,2
위메이드 ‘미르2’‘미르의 전설2’ 저작권 다툼서 연이은 승전보,3
총선 승리 다짐…민생법안 처리는 불투명,0
IT 강국 코리아 AI는 허덕…잘 할 수 있는 것부터,1
2020년 밝힌 새해 대한민국 1호를 소개합니다,2
한국산 온라인 MMORPG다중접속역할수행게임 장르 세계화… 게임한류의 전설,3
문희상 국회의장 “검찰·선거개혁 단초 열어 보람…떳떳하고 당당”,0
국민MC 송해 입원에 응원 댓글 이어져…단순 감기몸살,1
동해해경청 새해첫날 독도 해상서 조업중 50대 뇌출혈 환자 긴급 이송,2
11월 5G 가입자 증가율 9.3% 그쳐,3
“새 전략무기 보게 될 것” 김정은 미국에 협상문 열어두고 경고 메시지,0
새해부터 카톡 2시간 먹통…삼성전자 화성 반도체 공장 정전,1
신동욱 앵커의 시선 새 10년 새 희망 새 행복,2
11월 5G 가입자 435만명… 증가율 9.3%,3
여야 전략통이 꼽은 총선 시대정신은,0
이런 것까지 AI가…새해 인공지능 충격 온다,1
‘Upgrade 용인’ 새로운 차원 도시… 백군기 시장 “전 부문 수준 한 차원 높이는 원년”,2
2020 핫이슈해외글로벌 IT 공룡 해체위기,3
文 내일 추미애 법무장관 임명…검찰 개혁 속도전,0
WTO 사무총장 국제무역분쟁 판결 기능 정지 해결책 찾을 것,1
종로구 청소년 겨울방학 자원봉사 프로그램 운영,2
2020 신년특집미국 AI 전략 총괄한 제임스 쿠로세 교수 AI 인력 양성 다양성 확보가 핵심,3
비례당 창당비 10만원 걷는 한국당…당 일부 반발 기류,0
LG전자 AI 냉장고 인스타뷰 씽큐 CES서 첫 공개,1
자막뉴스 얼음이 와장창…얼음낚시하던 50대 숨진 채 발견,2
11월 5G 가입자 435만명… 증가율 9.3% 첫 한자릿수,3
종로 출마 묻자…황교안 어디 가야 효과 날지 고민,0
포토 테이프·노끈 사라진 대형마트 자율포장대,1
2020년 우리의 새해 소원…‘올해에는 꼭’,2
신세계 새해 이벤트 “쥐 새겨진 골드바 드려요”,3
여론조사 문 대통령 잘한다 49.3% 못한다 46.1%,0
아제베두 WTO 사무총장 상소기구 기능 정치 해결책 찾겠다,1
대구시·경북도 포항 호미곶서 2020년 경자년 새해 첫 출발,2
롯데백화점 출산 기획전… “예비 부모들 모여라”,3
황교안 통합 열차 출발…유승민 2월 초까지는 힘 합쳐야,0
MBC여론조사 부동산대책 적절 51.1% vs 과도 40.4%,1
성동구 아파트 화재로 주민 2000명 대피… 이틀째 전기·난방 끊겨,2
MAGIC AI 개발과정 수작업 수고 덜어주고 게임 속에선 직접 조율자 역할도,3
여론조사 비례정당에 투표 의향 있다 47.4% 없다 46.5%,0
제수·선물용 농축산물 원산지 부정 유통 단속,1
힘찬 새해 출발…이색행사도 잇따라,2
MAGIC교통사고 낮추고 건강수명은 연장..인공지능 혁신  미래의 인간을 이롭게 하다,3
여론조사 총선 지지 정당은 민주 43.8% 한국 24.5%,0
상자는 남았지만 테이프·끈 사라진 마트... 종이 노끈이라도 주세요,1
1월 2일 알림,2
올해는 K바이오 보릿고개…美시장 뚫을 국산약 2개뿐,3
여야 새해 첫날부터 4월 총선 승리 신경전,0
양재역 맛집 곰작골나주곰탕 양재본점 새로 문열었어요,1
1월 2일 동정,2
MAGIC자율주행車 공유경제와 만나 모빌리티 생태계 바꾼다,3
한국당 울산시장 선거개입 의혹 추미애 고발,0
전국 애주가들에게 ‘국산맥주도 4캔 1만원’ 시대 오나,1
동작구 2020년 초·중등 새내기 학부모 특강 개최,2
MAGIC택시면허 확보한 벤티·마카롱… 이동수단이 아닌 달콤한 경험이 온다,3
황교안 총선 압승해 연동형비례 선거법공수처법 폐기,0
환매 중단 라임자산운용 투자자들 법적 대응 나선다,1
‘얼굴 없는 천사’ 성금 6천만원 훔친 피의자 2명 구속,2
카카오톡 새해 벽두부터 2시간 넘게 ‘먹통’…“시스템 오류”,3
추미애 법무 2일 임명할 듯…청와대 검찰개혁에 속력,0
허식 부회장 새해 첫날 현장달려가 구슬땀,1
신년토론 기레기 표현 정당하게 쓰이고 있나…4인의 시각은,2
보릿고개 겪은 반도체 업계 日규제 극복하고 초격차전략으로 대응,3
文 더 희망찬 한 해 약속…與野 총선 필승 다짐,0
WTO 사무총장 상소기구 기능 정지 해결책 찾을 것,1
풍선날리기 행사하다 야생동물 잡을라…비판 여론에 잇단 취소,2
서울보다 지역에서 잘달리는 카카오T블루,3
집권 이후 첫 신년사 생략…김정은 위원장의 계산,0
